,Model,april_2019,april_2018_x,march_2019,march_2018_x,february_2019,february_2018_x,january_2019,january_2018_x,december_2018,december_2017,november_2018,november_2017,october_2018,october_2017,september_2018,september_2017,august_2018,august_2017,july_2018,july_2017,june_2018,june_2017,may_2018,may_2017,april_2018_y,april_2017,march_2018_y,march_2017,february_2018_y,february_2017,january_2018_y,january_2017,Jan. 2017 YTD,Jan. 2016 YTD_x,2016,2015_x,Nov. 2016 YTD,Nov. 2015 YTD,Oct. 2016 YTD,Oct. 2015 YTD,Sept. 2016 YTD,Sept. 2015 YTD,Aug. 2016 YTD,Aug. 2015 YTD,July 2016 YTD,July 2015 YTD,June 2016 YTD,June 2015 YTD,May 2016 YTD,May 2015 YTD,April 2016 YTD,April 2015 YTD,March 2016 YTD_x,March 2015 YTD_x,Feb. 2016 YTD,Feb. 2015 YTD_x,Jan. 2016 YTD_y,Jan. 2015 YTD_x,2015_y,2014,March 2016 YTD_y,March 2015 YTD_y,Feb. 2015 YTD_y,Feb. 2014 YTD,Jan. 2015 YTD_y,Jan. 2014 YTD,Dec. 2014 YTD,Dec. 2013 YTD,November 2014 YTD,November 2013 YTD_x,October 2014 YTD,October 2013 YTD_x,September 2014 YTD,September 2013 YTD,August 2014 YTD,August 2013 YTD_x,July 2014 YTD,July 2013 YTD_x,June 2014 YTD,June 2013 YTD_x,May 2014 YTD,May 2013 YTD_x,April 2014 YTD,April 2013 YTD_x,March 2014 YTD,March 2013 YTD_x,February 2014 YTD,February 2013 YTD,January 2014,January 2013_x,2013,2012,November 2013 YTD_y,November 2012 YTD_x,October 2013 YTD_y,October 2012 YTD_x,September 2013 YTD,% Change_x,August 2013 YTD_y,% Change_y,July 2013 YTD_y,% Change_x,June 2013 YTD_y,% Change_y,May 2013 YTD_y,% Change_x,April 2013 YTD_y,% Change_y,March 2013 YTD_y,% Change_x,2 Months Of 2013,2 Months % Change,January 2013_y,January 2012_x,November 2012 YTD_y,November 2011 YTD,October 2012 YTD_y,October 2011 YTD,September 2012 YTD,September 2011 YTD,August 2012 YTD,August 2011 YTD,July 2012 YTD,July 2011 YTD,June 2012 YTD,June 2011 YTD,May 2012,May 2011,April 2012 YTD,April 2011 YTD,March 2012 YTD,March 2011 YTD,February 2012 YTD,February 2011 YTD,January 2012_y,January 2011,December 2011,% Change_y,November 2011,% Change,October 2011,October 2010
2645,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,19442.0,+ 30.5%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2646,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,19442.0,+ 30.5%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2647,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,19442.0,+ 30.5%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2648,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,19442.0,+ 30.5%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2649,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,16984.0,+ 14.2%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2650,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,16984.0,+ 14.2%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2651,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,16984.0,+ 14.2%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2652,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,33772.0,+ 13.0%,22871.0,+ 6.2%,16984.0,+ 14.2%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2653,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,19442.0,+ 30.5%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2654,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,19442.0,+ 30.5%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2655,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,19442.0,+ 30.5%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2656,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,19442.0,+ 30.5%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2657,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,16984.0,+ 14.2%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2658,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,16984.0,+ 14.2%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2659,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,16984.0,+ 14.2%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2660,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,26495.0,+ 19.8%,16984.0,+ 14.2%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2661,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,19442.0,+ 30.5%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2662,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,19442.0,+ 30.5%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2663,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,19442.0,+ 30.5%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2664,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,19442.0,+ 30.5%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2665,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,16984.0,+ 14.2%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2666,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,16984.0,+ 14.2%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2667,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,16984.0,+ 14.2%,9981.0,+ 28.4%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2668,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,63621.0,+ 11.9%,50656.0,+ 10.0%,43820.0,+ 7.9%,37447.0,+ 5.9%,29386.0,+ 3.5%,22871.0,+ 6.2%,16984.0,+ 14.2%,9981.0,+ 28.4%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2669,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,54935.0,+ 8.2%,58043.0,+ 13.2%,49866.0,+ 11.8%,42590.0,+ 11.4%,33772.0,+ 13.0%,26495.0,+ 19.8%,19442.0,+ 30.5%,11513.0,+ 48.1%,5638.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
2670,Ford Taurus,,,2711,3154,2409,3115,2510,3248,3475,3394,2719,2762,2556,2681,2199,2927,3036,2903,2570,2867,3329,3665,3815,3933,2872,3418,3154,4641,3115,4680,3248,3365,3365,3567,44098,48816,39997,44794,37223,41607,34144,37959,30869,34017,27455,29967,24386,25172,21048,19923,17821,14985,13456,10569,8274,6405,3567,3006,48816,62629,13456,10569,6405,8018,76,157,62629,79960,58881,74549,55469,69648,51694,63621,46937,58043,41721,49866,35094,42590,28379,33772,21385,26495,12309,16984,8018,11513,3713,5638,79960,74375,74549,67471,69648,61737,54935.0,+ 8.2%,58043.0,+ 13.2%,49866.0,+ 11.8%,42590.0,+ 11.4%,33772.0,+ 13.0%,26495.0,+ 19.8%,19442.0,+ 30.5%,11513.0,+ 48.1%,4934.0,3447,67471,57876,61737,52976,56848,47538,51293,43233,44583,38242,38221,33683,29893,27009,22110,20732,14899,14470,7776,8516,3447,2896,,,,,,
